Año;Mes;TV REG Y LOCAL;TV NACIONAL;RADIO;REVISTAS;PUB EXTERIOR;PERIODICOS;TOTAL CON PERIODICOS;MES_N;TRI;date
2012;ENERO;2459559458;46918289842;24882390241;2793790349;;;77054029890;1;1;2012-01-01 00:00:00
2012;FEBRERO;4494138456;73382575920;31022364989;5086136037;;;113985215402;2;1;2012-02-01 00:00:00
2012;MARZO;4167479966;89553625480;34490425483;6925853750;;;135137384679;3;1;2012-03-01 00:00:00
2012;ABRIL;4668260988;88034205780;33420065825;10642258302;;;136764790895;4;2;2012-04-01 00:00:00
2012;MAYO;4730111316;84459219706;39643196143;11262606985;;;140095134150;5;2;2012-05-01 00:00:00
2012;JUNIO;5470273898;86166922843;40666871628;10216811447;;;142520879816;6;2;2012-06-01 00:00:00
2012;JULIO;5664518856;93137766686;38482006127;9182275733;;;146466567402;7;3;2012-07-01 00:00:00
2012;AGOSTO;6011452797;89784774651;41006925835;8986758959;;;145789912242;8;3;2012-08-01 00:00:00
2012;SEPTIEMBRE;6626448182;1,03272E+11;42451634782;10928197859;;;163278593999;9;3;2012-09-01 00:00:00
2012;OCTUBRE;4312845669;98779604190;42632542767;10025826783;;;155750819409;10;4;2012-10-01 00:00:00
2012;NOVIEMBRE;7157869128;1,03715E+11;45479127138;12740497902;;;169092170884;11;4;2012-11-01 00:00:00
2012;DICIEMBRE;7631140379;86306036207;52330526215;11414637568;;;157682340369;12;4;2012-12-01 00:00:00
2013;ENERO;2747747458;48514116870;26693568621;2745891563;;;80701324512;1;1;2013-01-01 00:00:00
2013;FEBRERO;3612026478;79091213104;33645139378;4942036923;;;121290415883;2;1;2013-02-01 00:00:00
2013;MARZO;4411540997;93343624027;35003768453;8565736516;;;141324669993;3;1;2013-03-01 00:00:00
2013;ABRIL;4797345481;97005660543;39159788438;8502750104;;;149465544566;4;2;2013-04-01 00:00:00
2013;MAYO;5121888613;94564270221;44275657735;11313768141;;;155275584710;5;2;2013-05-01 00:00:00
2013;JUNIO;5248243169;99000665215;45022685978;11147362848;;;160418957210;6;2;2013-06-01 00:00:00
2013;JULIO;5214132237;94917172988;43844560443;8144052900;;;152119918568;7;3;2013-07-01 00:00:00
2013;AGOSTO;5241206459;95350520258;46419672689;9309566802;;;156320966208;8;3;2013-08-01 00:00:00
2013;SEPTIEMBRE;5479273137;1,00827E+11;52647451959;10762074438;;;169715439297;9;3;2013-09-01 00:00:00
2013;OCTUBRE;6101445273;1,0357E+11;48257047676;9470546269;;;167399159814;10;4;2013-10-01 00:00:00
2013;NOVIEMBRE;7428911449;1,04215E+11;52028604138;11772436282;;;175445045810;11;4;2013-11-01 00:00:00
2013;DICIEMBRE;11165975135;88566559927;54609347239;12030511503;;;166372393804;12;4;2013-12-01 00:00:00
2014;ENERO;3382601408;52579758751;29313332607;2434831510;;;87710524277;1;1;2014-01-01 00:00:00
2014;FEBRERO;3990547169;87178179164;39511215694;5713065755;;;136393007782;2;1;2014-02-01 00:00:00
2014;MARZO;4907484372;1,02168E+11;48707704931;8738010828;;;164521434336;3;1;2014-03-01 00:00:00
2014;ABRIL;4341540302;1,03313E+11;38531998049;10044769538;;;156231077944;4;2;2014-04-01 00:00:00
2014;MAYO;6460992092;1,10169E+11;51288083589;10799980626;;;178717589687;5;2;2014-05-01 00:00:00
2014;JUNIO;5629205439;1,28414E+11;53308730359;10107467719;;;197459173108;6;2;2014-06-01 00:00:00
2014;JULIO;5103018613;1,00367E+11;45676132763;5723063205;;;156868850640;7;3;2014-07-01 00:00:00
2014;AGOSTO;6888830521;91300160416;43086981919;7167511830;;;148443484686;8;3;2014-08-01 00:00:00
2014;SEPTIEMBRE;6216127843;95811522008;48009285202;11095500577;;;161132435630;9;3;2014-09-01 00:00:00
2014;OCTUBRE;6432004758;99444282557;49582448652;10101089353;;;165559825320;10;4;2014-10-01 00:00:00
2014;NOVIEMBRE;7412377715;98983237865;50520245120;11158814628;;;168074675328;11;4;2014-11-01 00:00:00
2014;DICIEMBRE;10879447771;85299267435;52680520882;10157915909;;;159017151997;12;4;2014-12-01 00:00:00
2015;ENERO;4519313859;59468813694;30120928116;2943945140;;31986000000;129039000809;1;1;2015-01-01 00:00:00
2015;FEBRERO;4365426106;85207820541;35308565982;4577426653;;39577000000;169036239282;2;1;2015-02-01 00:00:00
2015;MARZO;4059274888;97677979152;42192480867;6032976432;;43715000000;193677711339;3;1;2015-03-01 00:00:00
2015;ABRIL;4686159156;91109153208;41293323608;8451773175;;45110000000;190650409147;4;2;2015-04-01 00:00:00
2015;MAYO;4838618663;89996347587;48066858933;9004369294;;50607000000;202513194477;5;2;2015-05-01 00:00:00
2015;JUNIO;4738858146;1,0793E+11;48849409622;9375494399;;46095000000;216989183321;6;2;2015-06-01 00:00:00
2015;JULIO;5006602957;95775867310;45972750629;7313280549;;41823000000;195891501445;7;3;2015-07-01 00:00:00
2015;AGOSTO;6687609699;86527801955;46714186510;7725441862;;45728000000;193383040026;8;3;2015-08-01 00:00:00
2015;SEPTIEMBRE;7643974017;98636071199;54276259104;10116360654;;49195000000;219867664974;9;3;2015-09-01 00:00:00
2015;OCTUBRE;6784583031;1,06451E+11;56325311831;8737808189;;54073000000;232371339648;10;4;2015-10-01 00:00:00
2015;NOVIEMBRE;6218321373;1,01805E+11;57872962748;11541217981;;53089000000;230526302073;11;4;2015-11-01 00:00:00
2015;DICIEMBRE;11679130520;82342083046;54040473722;9240783026;;53992000000;211294470314;12;4;2015-12-01 00:00:00
2016;ENERO;2605422889;58330197832;29481977385;2510434778;9729209466;27708000000;130365242350;1;1;2016-01-01 00:00:00
2016;FEBRERO;3399442766;79975986289;35562986252;4280204548;9805291002;33846000000;166869910857;2;1;2016-02-01 00:00:00
2016;MARZO;3946228253;88935728415;41987028114;4941251633;9863936204;35650000000;185324172619;3;1;2016-03-01 00:00:00
2016;ABRIL;3685324757;83759952922;41020754040;7827876365;11202663374;40480000000;187976571458;4;2;2016-04-01 00:00:00
2016;MAYO;4105568151;86758456929;39127218279;7490205264;10916058379;39643000000;188040507002;5;2;2016-05-01 00:00:00
2016;JUNIO;3993286101;96619876073;47258433614;6525959631;10443166611;41290000000;206130722030;6;2;2016-06-01 00:00:00
2016;JULIO;4448426036;77311316829;42556129764;5814923675;10969543261;38304000000;179404339565;7;3;2016-07-01 00:00:00
2016;AGOSTO;5301323402;80925273742;44028435689;5692372266;10859984255;42033000000;188840389354;8;3;2016-08-01 00:00:00
2016;SEPTIEMBRE;5039154511;90340230392;47620113266;8193227806;10749126245;42586000000;204527852220;9;3;2016-09-01 00:00:00
2016;OCTUBRE;5637675623;92819873525;44988932624;8820138450;10835566681;43854000000;206956186903;10;4;2016-10-01 00:00:00
2016;NOVIEMBRE;5742303484;88560983255;51362635056;7497336725;12511694866;47202000000;212876953386;11;4;2016-11-01 00:00:00
2016;DICIEMBRE;8468353998;65789099886;52728666205;7921562245;12703404081;50280000000;197891086415;12;4;2016-12-01 00:00:00
2017;ENERO;2575318102;53796564067;27631380241;2622433900;10105446540;25317000000;122048142850;1;1;2017-01-01 00:00:00
2017;FEBRERO;3309724957;71121578380;34819360679;3516955118;14087192124;31023000000;157877811258;2;1;2017-02-01 00:00:00
2017;MARZO;3509826383;84116876421;43191971270;4793569769;14197677459;38441000000;188250921302;3;1;2017-03-01 00:00:00
2017;ABRIL;3104941899;76964633745;39218839081;6842723662;13659079873;34441000000;174231218260;4;2;2017-04-01 00:00:00
2017;MAYO;3985864628;84195133726;45505460908;5696760409;14642395197;41666000000;195691614868;5;2;2017-05-01 00:00:00
2017;JUNIO;3547780638;80581705851;47860879817;5835031719;16552949151;40477000000;194855347176;6;2;2017-06-01 00:00:00
2017;JULIO;3822320805;79997667063;42824141893;6316122754;14973041144;38324000000;186257293659;7;3;2017-07-01 00:00:00
2017;AGOSTO;4643798963;82068323528;45037996851;5453323827;15006907411;39254000000;191464350580;8;3;2017-08-01 00:00:00
2017;SEPTIEMBRE;4375407510;81599352662;46596162850;7802456546;16416406144;40746000000;197535785712;9;3;2017-09-01 00:00:00
2017;OCTUBRE;4529225883;82361997401;46575007043;6933877560;15114672949;41973000000;197487780836;10;4;2017-10-01 00:00:00
2017;NOVIEMBRE;6101222022;78626840612;53471002541;7494487988;17179819165;45155000000;208028372328;11;4;2017-11-01 00:00:00
